composition,ΔH,ΔS,C14,C15,wt,ln_p
Zr0.18333333 Ti0.15 Mn0.19307832 V0.16393443 Ni0.30965392,36.0,113.3,100.0,0.0,1.82,-13.45441424103921
Zr0.18333333 Ti0.15 Mn0.23333333 V0.15 Ni0.28333333,32.8,112.0,100.0,0.0,2.04,-13.313447197498196
Zr0.18333333 Ti0.15 Mn0.21031746 V0.17857143 Ni0.27777778,54.0,153.0,100.0,0.0,1.69,-18.142891508299257
Zr0.18333333 Ti0.15 Mn0.25448029 V0.16129032 Ni0.25089606,35.6,108.0,100.0,0.0,1.86,-12.818859754630743
Zr0.18333333 Ti0.15 Mn0.29268293 V0.14634146 Ni0.22764228,32.3,108.0,96.0,0.0,2.01,-12.834736588886216
Zr0.18333333 Ti0.15 Mn0.35752688 V0.12096774 Ni0.18817204,28.3,107.9,94.0,0.0,1.6,-12.841953331729615
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,23.0,93.0,100.0,0.0,1.8,-11.075294683666105
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,26.0,98.0,100.0,0.0,2.05,-11.662256434929036
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,25.0,92.0,100.0,0.0,2.1,-10.945393312484965
Zr0.01555556 Ti0.31777778 Mn0.33333333 Cr0.26666667 Fe0.06666667,28.0,100.0,100.0,0.0,2.2,-11.893192205917728
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Ni0.38195489 Sn0.00300752,34.0,109.6,100.0,0.0,1.42,-13.01900408948761
Zr0.21393035 Ti0.11940298 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.00501253 Ni0.37694236 Sn0.00300752,29.8,94.2,100.0,0.0,1.45,-11.186913639643974
Zr0.21393035 Ti0.11940298 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.01002506 Ni0.37192982 Sn0.00300752,39.8,124.3,100.0,0.0,1.62,-14.75920134712533
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.01503759 Ni0.36691729 Sn0.00300752,33.2,103.4,100.0,0.0,1.6,-12.277122925186434
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.02005013 Ni0.36190476 Sn0.00300752,35.9,113.8,100.0,0.0,1.53,-13.515034880923743
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.02506266 Ni0.35689223 Sn0.00300752,24.3,79.0,100.0,0.0,1.44,-9.385133509742602
Ti0.33333333 Cr0.66666667,21.37,110.0,0.0,100.0,,-13.127880683184989
Ti0.33333333 Cr0.66666667,19.601,110.0,100.0,0.0,,-13.1363916285783
Ti0.33333333 Mn0.16666667 Cr0.5,21.1,110.0,100.0,0.0,,-13.1291796968968
Ti0.33333333 Mn0.25 Cr0.41666667,27.89,110.0,100.0,0.0,,-13.096511907625692
Ti0.33333333 Mn0.33333333 Cr0.33333333,28.556,110.0,100.0,0.0,,-13.093307673803222
Zr0.03333333 Ti0.3 Mn0.54285714 V0.12380952,30.0,110.0,0.0,0.0,1.98,-13.08636035602598
Zr0.03703704 Ti0.2962963 Mn0.61458333 V0.05208333,29.0,110.0,0.0,0.0,1.76,-13.091171517921577
Zr0.03809524 Ti0.2952381 Mn0.56410256 V0.1025641,31.0,110.0,0.0,0.0,1.9,-13.081549194130382
Zr0.03225806 Ti0.30107527 Mn0.64052288 V0.02614379,32.0,110.0,0.0,0.0,1.8,-13.076738032234784
Zr0.03703704 Ti0.2962963 Mn0.52083333 V0.14583333,33.0,110.0,0.0,0.0,1.93,-13.071926870339187
Zr0.03333333 Ti0.3 Mn0.61111111 V0.05555556,34.0,110.0,0.0,0.0,1.93,-13.067115708443588
Zr0.04273504 Ti0.29059829 Mn0.54644809 V0.12021858,35.0,110.0,0.0,0.0,1.85,-13.06230454654799
Zr0.03703704 Ti0.2962963 Mn0.47916667 V0.1875,37.0,110.0,0.0,0.0,2.04,-13.052682222756795
Zr0.03333333 Ti0.3 Mn0.55555556 V0.11111111,38.0,110.0,0.0,0.0,1.97,-13.047871060861198
Zr0.04347826 Ti0.28985507 Mn0.60493827 V0.06172839,39.0,110.0,0.0,0.0,1.97,-13.0430598989656
Zr0.03333333 Ti0.3 Mn0.61904762 V0.04761905,38.0,110.0,0.0,0.0,0.5,-13.047871060861198
Zr0.03809524 Ti0.2952381 Mn0.61538462 V0.05128205,35.0,110.0,0.0,0.0,0.5,-13.06230454654799
Zr0.00640378 Ti0.32692956 Mn0.47460845 Al0.00822655 V0.13890207 Cr0.01423825 Fe0.03069135,21.7,99.8,100.0,0.0,1.71,-11.899446716382005
Zr0.00666667 Ti0.32666667 Mn0.48309179 V0.13848631 Cr0.01610306 Fe0.02898551,20.0,110.0,100.0,0.0,,-13.134471974981958
Zr0.00666667 Ti0.32666667 Mn0.48666667 V0.13666667 Cr0.01666667 Fe0.02666667,18.0,110.0,100.0,0.0,,-13.144094298773153
Zr0.01666667 Ti0.31666667 Mn0.49333333 Al0.00333333 V0.14333333 Fe0.02666667,25.6,110.0,100.0,0.0,,-13.107529468366609
Zr0.015 Ti0.31833333 Mn0.48253968 Al0.00952381 V0.13650794 Fe0.03809524,20.0,110.0,100.0,0.0,,-13.134471974981958
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,34.8,110.0,95.1,3.1,1.49,-13.06326677892711
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.07017544 Cu0.01002506 Ni0.32280702 Sn0.00300752,29.8,94.0,89.3,8.1,1.39,-11.162857830165985
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.06015038 Cu0.02005013 Ni0.32280702 Sn0.00300752,31.4,97.0,90.8,6.1,1.3,-11.515997113302863
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.05012531 Cu0.03007519 Ni0.32280702 Sn0.00300752,31.7,95.0,94.8,0.0,1.2,-11.273995669954292
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.04010025 Cu0.04010025 Ni0.32280702 Sn0.00300752,32.1,96.0,91.7,1.1,1.14,-11.392350252586
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.03007519 Cu0.05012531 Ni0.32280702 Sn0.00300752,31.5,93.0,91.5,,1.11,-11.034399807553523
Zr0.20915033 Ti0.12418301 Mn0.05590062 Al0.00414079 V0.10041408 Cr0.08488613 Co0.01552795 Ni0.40269151 Sn0.00310559,29.0,77.0,74.0,11.1,1.3,-9.121962954053403
