composition,ΔH
Zr0.16666667 Ti0.16666667 Mn0.0952381 V0.19047619 Cr0.19047619 Fe0.19047619,39.09
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.17777778 Cr0.17777778 Fe0.17777778,36.12
Zr0.16666667 Ti0.16666667 Mn0.19607843 V0.15686275 Cr0.15686275 Fe0.15686275,31.81
Zr0.16666667 Ti0.16666667 Mn0.22222222 V0.14814815 Cr0.14814815 Fe0.14814815,27.01
Zr0.16666667 Ti0.16666667 Mn0.26666667 V0.13333333 Cr0.13333333 Fe0.13333333,24.71
Zr0.33333333 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,21.49
Zr0.22222222 Ti0.11111111 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,25.63
Zr0.13333333 Ti0.2 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,37.76
Zr0.11111111 Ti0.22222222 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,44.03
Zr0.16666667 Ti0.16666667 Mn0.22222222 Cr0.22222222 Fe0.22222222,42.46
Zr0.16666667 Ti0.16666667 Mn0.19047619 V0.0952381 Cr0.19047619 Fe0.19047619,41.02
Zr0.16666667 Ti0.16666667 Mn0.14814815 V0.22222222 Cr0.14814815 Fe0.14814815,35.08
Zr0.16666667 Ti0.16666667 Mn0.13333333 V0.26666667 Cr0.13333333 Fe0.13333333,36.59
Ti0.33333333 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,36.59
Zr0.11111111 Ti0.22222222 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,14.81
Zr0.2 Ti0.13333333 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,46.17
Zr0.22222222 Ti0.11111111 Mn0.16666667 V0.16666667 Cr0.16666667 Fe0.16666667,52.48
Zr0.1 Ti0.23333333 Mn0.6 V0.06666667,13.0
Zr0.1 Ti0.23333333 Mn0.53333334 V0.13333333,14.0
Zr0.1 Ti0.23333333 Mn0.46666667 V0.2,16.0
Zr0.1 Ti0.23333333 Mn0.4 V0.26666667,20.0
Zr0.1 Ti0.23333333 Mn0.33333333 V0.33333333,20.5
Ti0.33333333 Cr0.66666667,26.5
Ti0.33333333 Cr0.66666667,21.3
Ti0.33333333 Al0.01851852 Cr0.64814815,24.0
Ti0.33333333 Al0.07407407 Cr0.5925926,33.4
Ti0.33333333 Al0.07017544 Cr0.59649123,28.1
Ti0.33333333 Al0.01666667 Cr0.65,22.8
Ti0.33333333 Mn0.07407407 Cr0.5925926,28.0
Ti0.33333333 Mn0.33333333 Cr0.33333333,22.8
Ti0.33333333 Cr0.64864865 B0.01801802,15.6
Ti0.33333333 Cr0.64864865 Si0.01801802,21.4
Ti0.33333333 Cr0.63063063 Ni0.03603604,20.5
Ti0.33333333 Cr0.56666667 Ni0.1,21.7
Ti0.33333333 Cr0.62091504 Mo0.04575163,17.2
Ti0.33333333 Cr0.66317627 Mo0.0034904,24.8
Ti0.35483871 Mn0.32258065 Cr0.32258065,14.7
Zr0.01666667 Ti0.31666667 Mn0.33333333 Cr0.33333333,16.3
Zr0.02 Ti0.31333333 Mn0.33333333 Cr0.33333333,17.3
Zr0.03333333 Ti0.3 Mn0.33333333 Cr0.33333333,16.9
Ti0.33333333 Mn0.06666667 Cr0.53333333 Fe0.06666667,19.66
Ti0.33333333 Mn0.06734007 Cr0.53198653 Fe0.06734007,19.9
Ti0.33333333 Mn0.06837607 Cr0.52991453 Fe0.06837607,20.32
Ti0.33333333 Mn0.07017544 Cr0.52631579 Fe0.07017544,20.78
Ti0.33333333 Mn0.06837607 Cr0.51282051 Fe0.08547009,19.32
Ti0.33333333 Mn0.06666667 Cr0.5 Fe0.1,18.32
Zr0.03030303 Ti0.3030303 Mn0.51851852 Cr0.12962963 Fe0.01851852,25.89
Zr0.18333333 Ti0.15 Mn0.03896104 V0.19480519 Ni0.43290043,41.7
Zr0.18333333 Ti0.15 Mn0.07723577 V0.18292683 Ni0.40650407,39.0
Zr0.18333333 Ti0.15 Mn0.10789981 V0.1734104 Ni0.38535645,36.9
Zr0.18333333 Ti0.15 Mn0.10021787 V0.19607843 Ni0.37037037,47.6
Zr0.18333333 Ti0.15 Mn0.13496933 V0.18404908 Ni0.34764826,44.2
Zr0.18333333 Ti0.15 Mn0.19307832 V0.16393443 Ni0.30965392,36.0
Zr0.18333333 Ti0.15 Mn0.23333333 V0.15 Ni0.28333333,32.8
Zr0.18333333 Ti0.15 Mn0.21031746 V0.17857143 Ni0.27777778,54.0
Zr0.18333333 Ti0.15 Mn0.25448029 V0.16129032 Ni0.25089606,35.6
Zr0.18333333 Ti0.15 Mn0.29268293 V0.14634146 Ni0.22764228,32.3
Zr0.18333333 Ti0.15 Mn0.35752688 V0.12096774 Ni0.18817204,28.3
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,23.0
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,26.0
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,25.0
Zr0.01555556 Ti0.31777778 Mn0.33333333 Cr0.26666667 Fe0.06666667,28.0
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Ni0.38195489 Sn0.00300752,34.0
Zr0.21393035 Ti0.11940298 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.00501253 Ni0.37694236 Sn0.00300752,29.8
Zr0.21393035 Ti0.11940298 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.01002506 Ni0.37192982 Sn0.00300752,39.8
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.01503759 Ni0.36691729 Sn0.00300752,33.2
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.02005013 Ni0.36190476 Sn0.00300752,35.9
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.02506266 Ni0.35689223 Sn0.00300752,24.3
Ti0.33333333 Cr0.66666667,21.37
Ti0.33333333 Cr0.66666667,19.601
Ti0.33333333 Mn0.16666667 Cr0.5,21.1
Ti0.33333333 Mn0.25 Cr0.41666667,27.89
Ti0.33333333 Mn0.33333333 Cr0.33333333,28.556
Zr0.03333333 Ti0.3 Mn0.54285715 V0.12380952,30.0
Zr0.03703704 Ti0.2962963 Mn0.61458333 V0.05208333,29.0
Zr0.03809524 Ti0.2952381 Mn0.56410256 V0.1025641,31.0
Zr0.03225806 Ti0.30107527 Mn0.64052288 V0.02614379,32.0
Zr0.03703704 Ti0.2962963 Mn0.52083333 V0.14583333,33.0
Zr0.03333333 Ti0.3 Mn0.61111111 V0.05555556,34.0
Zr0.04273504 Ti0.29059829 Mn0.54644809 V0.12021858,35.0
Zr0.03703704 Ti0.2962963 Mn0.47916667 V0.1875,37.0
Zr0.03333333 Ti0.3 Mn0.55555556 V0.11111111,38.0
Zr0.04347826 Ti0.28985507 Mn0.60493828 V0.06172839,39.0
Zr0.03333333 Ti0.3 Mn0.61904762 V0.04761905,38.0
Zr0.03809524 Ti0.2952381 Mn0.61538461 V0.05128205,35.0
Zr0.00640378 Ti0.32692956 Mn0.47460845 Al0.00822655 V0.13890207 Cr0.01423825 Fe0.03069135,21.7
Zr0.00666667 Ti0.32666667 Mn0.48309179 V0.13848631 Cr0.01610306 Fe0.02898551,20.0
