composition,wt
Ti0.33333333 Cr0.63063063 Ni0.03603604,2.1
Ti0.33333333 Cr0.56666667 Ni0.1,1.9
Ti0.33333333 Cr0.62091504 Mo0.04575163,1.9
Ti0.33333333 Cr0.66317627 Mo0.0034904,1.9
Ti0.35483871 Mn0.32258065 Cr0.32258065,0.57
Zr0.01666667 Ti0.31666667 Mn0.33333333 Cr0.33333333,1.76
Zr0.02 Ti0.31333333 Mn0.33333333 Cr0.33333333,1.54
Zr0.03333333 Ti0.3 Mn0.33333333 Cr0.33333333,0.89
Zr0.18333333 Ti0.15 Mn0.03896104 V0.19480519 Ni0.43290043,1.8
Zr0.18333333 Ti0.15 Mn0.07723577 V0.18292683 Ni0.40650407,1.8
Zr0.18333333 Ti0.15 Mn0.10789981 V0.1734104 Ni0.38535645,1.78
Zr0.18333333 Ti0.15 Mn0.10021787 V0.19607843 Ni0.37037037,1.98
Zr0.18333333 Ti0.15 Mn0.13496933 V0.18404908 Ni0.34764826,1.71
Zr0.18333333 Ti0.15 Mn0.19307832 V0.16393443 Ni0.30965392,1.82
Zr0.18333333 Ti0.15 Mn0.23333333 V0.15 Ni0.28333333,2.04
Zr0.18333333 Ti0.15 Mn0.21031746 V0.17857143 Ni0.27777778,1.69
Zr0.18333333 Ti0.15 Mn0.25448029 V0.16129032 Ni0.25089606,1.86
Zr0.18333333 Ti0.15 Mn0.29268293 V0.14634146 Ni0.22764228,2.01
Zr0.18333333 Ti0.15 Mn0.35752688 V0.12096774 Ni0.18817204,1.6
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,1.8
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,2.05
Zr0.11666667 Ti0.21666667 Mn0.33333333 Cr0.26666667 Fe0.06666667,2.1
Zr0.01555556 Ti0.31777778 Mn0.33333333 Cr0.26666667 Fe0.06666667,2.2
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Ni0.38195489 Sn0.00300752,1.42
Zr0.21393035 Ti0.11940298 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.00501253 Ni0.37694236 Sn0.00300752,1.45
Zr0.21393035 Ti0.11940298 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.01002506 Ni0.37192982 Sn0.00300752,1.62
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.01503759 Ni0.36691729 Sn0.00300752,1.6
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.02005013 Ni0.36190476 Sn0.00300752,1.53
Zr0.21393035 Ti0.11940299 Mn0.13634085 V0.10025063 Cr0.04511278 Co0.02506266 Ni0.35689223 Sn0.00300752,1.44
Zr0.03333333 Ti0.3 Mn0.54285715 V0.12380952,1.98
Zr0.03703704 Ti0.2962963 Mn0.61458333 V0.05208333,1.76
Zr0.03809524 Ti0.2952381 Mn0.56410256 V0.1025641,1.9
Zr0.03225806 Ti0.30107527 Mn0.64052288 V0.02614379,1.8
Zr0.03703704 Ti0.2962963 Mn0.52083333 V0.14583333,1.93
Zr0.03333333 Ti0.3 Mn0.61111111 V0.05555556,1.93
Zr0.04273504 Ti0.29059829 Mn0.54644809 V0.12021858,1.85
Zr0.03703704 Ti0.2962963 Mn0.47916667 V0.1875,2.04
Zr0.03333333 Ti0.3 Mn0.55555556 V0.11111111,1.97
Zr0.04347826 Ti0.28985507 Mn0.60493828 V0.06172839,1.97
Zr0.03333333 Ti0.3 Mn0.61904762 V0.04761905,0.5
Zr0.03809524 Ti0.2952381 Mn0.61538461 V0.05128205,0.5
Zr0.00640378 Ti0.32692956 Mn0.47460845 Al0.00822655 V0.13890207 Cr0.01423825 Fe0.03069135,1.71
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.0802005 Ni0.32280702 Sn0.00300752,1.49
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.07017544 Cu0.01002506 Ni0.32280702 Sn0.00300752,1.39
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.06015038 Cu0.02005013 Ni0.32280702 Sn0.00300752,1.3
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.05012531 Cu0.03007519 Ni0.32280702 Sn0.00300752,1.2
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.04010025 Cu0.04010025 Ni0.32280702 Sn0.00300752,1.14
Zr0.21393035 Ti0.11940298 Mn0.08120301 Al0.00401002 V0.10025063 Cr0.07518797 Co0.03007519 Cu0.05012531 Ni0.32280702 Sn0.00300752,1.11
Zr0.20915033 Ti0.12418301 Mn0.05590062 Al0.00414079 V0.10041408 Cr0.08488613 Co0.01552795 Ni0.40269151 Sn0.00310559,1.3
Zr0.20905588 Ti0.12427746 Mn0.05606524 Al0.00407747 V0.09989806 Cr0.08562691 Co0.01529052 Ni0.40265036 Sn0.0030581,1.44
Zr0.20895522 Ti0.12437811 Mn0.05614035 Al0.00401002 V0.10025063 Cr0.08521303 Co0.01503759 Ni0.40300752 Sn0.00300752,1.4
